Lower Super Output Area,Names,Age 16-29,No cars or vans (%),Public Transport Accessibility Levels,Non-English speaking(%),Income estimate,One person household(%),Private rented (%),No usual residents (%),High qualification Level (%)
E01004753,Westminster 022E,475,63.1,5.3,14.6,76815,52.2,32.3,4.5,60.7
E01004666,Westminster 023B,223,59.3,8,16.1,55551,46.1,30.7,14.1,43.8
E01004667,Westminster 023C,234,65,7.3,17.5,52212,53.4,25.8,8.9,43.5
E01004668,Westminster 023D,276,57.2,3.9,17.4,55516,35.3,23.6,6.3,45.7
E01004750,Westminster 023E,388,65.5,8,22.4,59386,55.3,30.7,12.2,47.2
E01033597,Westminster 023F,226,69.6,4.8,27.2,55477,62.2,30.8,13.5,47.7
E01033599,Westminster 023G,342,71.4,4.3,29.2,40838,32.7,12.7,12,33.3
E01004665,Westminster 024A,266,70.2,3.5,27.2,32327,37,14.2,3.6,25.9
E01004669,Westminster 024B,334,73.1,3.8,22.8,42416,43.3,20.8,2.9,32.3
E01004737,Westminster 024C,206,52.7,6.9,14.6,69828,45.8,22.1,13.2,42.4
E01004738,Westminster 024D,301,56.4,5.1,17,90092,50.3,46.7,16.2,63.1
E01004739,Westminster 024E,345,69.2,4,14.7,80463,66.2,87.9,15.3,65.1
E01004741,Westminster 024F,297,69.9,7.7,20.6,56027,52.6,26.6,9.6,49.1
E01000027,Barking and Dagenham 001A,318,34.5,2.3,6.2,31995,27.3,8,3,14.3
E01000028,Barking and Dagenham 001B,320,43.6,1.6,11.4,30915,32.2,13.4,3.3,20.5
E01000029,Barking and Dagenham 001C,244,27,1.8,9.3,43034,32.5,9.3,3.5,20.7
E01000030,Barking and Dagenham 001D,395,44.9,2.4,10.4,29508,28.3,9.4,2,17.4
E01000031,Barking and Dagenham 002A,290,25.6,2.7,10,47995,26.6,14.4,3.2,24.9
E01000032,Barking and Dagenham 002B,329,29.6,2.7,10.5,40236,28.7,20.9,2.8,19.2
E01000110,Barking and Dagenham 002C,269,19.2,2.7,8,52664,18.4,14.4,4.6,26.2
E01000111,Barking and Dagenham 002D,374,36.9,2.5,9.2,34685,30.7,16.9,2.4,20.1
E01000112,Barking and Dagenham 002E,414,35.6,3.3,12.6,40827,28.8,30.7,1.3,24.7
E01000113,Barking and Dagenham 002F,283,35.9,4.1,12.2,42391,26.7,29.9,3.1,26.1
E01000034,Barking and Dagenham 003A,266,31.1,2,6.4,36749,27.5,10.1,1.9,14.8
E01000037,Barking and Dagenham 003B,453,14.5,1.4,2.8,52891,22.3,6.7,2.7,18.5
E01000038,Barking and Dagenham 003C,261,26.6,3.1,6,46891,27.2,8.9,1.9,15.4
E01000039,Barking and Dagenham 003D,297,24.4,1.5,3.2,45153,28.1,13.2,1.2,22.1
E01000063,Barking and Dagenham 004A,309,38,3,7.6,32681,29.1,10.7,1.4,14.7
E01000100,Barking and Dagenham 004B,284,37.4,2.4,8.5,32848,25.2,12.2,2.1,16.4
